Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),160000,1500000,Cobro parte del salario en dólares,1000,No,No recibo bono,No,0,No tuve,3,Stock options / RSUs,3,"No, pero escucho ofertas.",UX Designer,1.5,1,1,0,Figma,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,No,No,8,3,,,,,,,,33,Femenino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3200000,2800000,,,3+ sueldos,Performance grupal,Más de tres,60,Mayo,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",SRE (Site Reliability Engineer),16,1,1,0,"AIX, Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,"MongoDB, Redis",Visual Studio Coded UI,De 2001a 5000 personas,100% remoto,0,Ajustes por inflacion,No,10,0,,,,,,,,39,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8000000,8000000,Cobro todo el salario en dólares,1080,No,No recibo bono,Uno,11,Febrero,4,"Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",DevOps Engineer,7,1,1,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Microcontroladores, Serverless","Bash/Shell, Go, Javascript, Python, Rust, TypeScript",Angular,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MongoDB, PostgreSQL, Redis",JUnit,De 51 a 100 personas,Híbrido (presencial y remoto),2,Si,No,0,4,Secundario,Completo,Técnico electrónico en computadoras,,"Sí, pasiva",200,Neto,26,Masculino
Córdoba,Full-Time,Staff (planta permanente),1500000,1300000,,,Un sueldo,Performance individual,Dos,70,Marzo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",4,"No, estoy muy conforme.",Developer,1,0,0,0,"Amazon Web Services, Google Cloud Platform","Java, SQL",Spring,MySQL,"JUnit, Postman",Más de 10000 personas,Híbrido (presencial y remoto),2,,No,10,2,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,30,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1186570,984853,,,No,No recibo bono,Uno,0,Abril,1,"Abono de celular, Horarios flexibles",1,"No, pero escucho ofertas.",SysAdmin,16,10,10,0,"Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,No,Sí,6,0,,,,,"Sí, activa",0,Bruto,39,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),5600000,4400000,,,De uno a tres sueldos,no esta condicionado,Dos,80,Abril,4,"Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Stock options / RSUs",4,"No, pero escucho ofertas.",SRE (Site Reliability Engineer),14,6,6,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Python","Django, Flask, Node.js, React.js","Amazon RDS/Aurora, ElasticSearch, MySQL, Redis, SQLite",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,"Si, por inflacion",No,9,5,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,"Sí, pasiva",0,Neto,39,Nada
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5500000,3500000,Cobro parte del salario en dólares,890,De uno a tres sueldos,Mix de las anteriores,Tres,60,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,5,3,3,0,Ninguna de las anteriores,"CSS, HTML, Java, Javascript, PHP, Python, SQL, TypeScript","Bootstrap, jQuery, React.js","MongoDB, MySQL",Jest,De 1001 a 2000 personas,100% remoto,0,Ajustes bimestrales por inflación,No,9,3,Universitario,Incompleto,Diseño Gráfico,UBA - Universidad de Buenos Aires,No,0,Porcentaje de mi sueldo bruto,33,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000,1600000,,,Un sueldo,Performance individual,Dos,28.8,Marzo,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,2,2,2,0,"Amazon Web Services, Firebase","Kotlin, Objective-C, Swift",SwiftUI,Amazon Redshift,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,No,9,3,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,"Sí, pasiva",0,Bruto,22,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5750000,5450000,,,No,No recibo bono,No,0,No tuve,4,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,20,0,19,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Javascript, Python, SQL, TypeScript",Node.js,"PostgreSQL, Redis, SQLite",Jest,De 11  a 50  personas,100% remoto,0,,No sé,8,4,Secundario,Incompleto,,,,,,37,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,2000000,,,No,No recibo bono,Uno,29,Abril,3,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,5,1,1,0,"Azure, OpenShift","HTML, Java, Javascript, SQL, TypeScript","Angular, Hibernate, Node.js, Spring",Oracle,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,"Si, las paritarias",No sé,0,5,,,,,,,,33,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2363079,2044357,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,170,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",Consultant,13,7,3,0,"Azure, Linux, VMWare, Windows Server","HTML, Java, Javascript, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,1,casi mensual se trata de mantener el valor del salario dependiendo del reporte inflacionario,No,10,3,,,,,,,,36,masculino
Córdoba,Full-Time,Staff (planta permanente),2500000,2200000,,,No,No recibo bono,Dos,30,Febrero,3,"Abono de Internet, Horarios flexibles, Guardería o pago para cubrir costo de guardería",3,"Sí, estoy buscando activamente.",Gerente de Soporte,2,8,2,16,Windows Server,".NET, C#, HTML, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,Por convenio de Sanidad,No,3,1,Universitario,Incompleto,Analista Universitario de Sistemas,UTN - Universidad Tecnológica Nacional,"Sí, pasiva",0,Neto,33,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000,2000000,,,De uno a tres sueldos,Performance individual,Más de tres,100,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Data Engineer,4,2,2,0,Amazon Web Services,"Python, SQL",Hadoop,"Amazon Redshift, MySQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,,Sí,10,3,Terciario,Incompleto,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,31,Masculino
Tierra del Fuego,Full-Time,Contractor,1300000,1200000,Cobro todo el salario en dólares,1080,Menos de un sueldo,Performance individual,No,0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas",2,"No, pero escucho ofertas.",Developer,2,1.5,2,0,"Amazon Web Services, Docker, Kubernetes, Microcontroladores",Java,"Angular, Hibernate, Spring",PostgreSQL,JUnit,De 51 a 100 personas,100% remoto,0,No,Sí,5,2,,,,,,,,26,Masculino
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1015000,860000,,,No,No recibo bono,Dos,20,Abril,3,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"Sí, estoy buscando activamente.",QA / Tester,7,4,6,1,"OpenShift, VMWare, Jenkins","Java, Python, SQL",Ninguno de los anteriores,"Microsoft SQL Server, Oracle","Postman, Qmetry",Más de 10000 personas,Híbrido (presencial y remoto),0,A la empresa Vates la compró la empresa Epam,No sé,4,3,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, pasiva",0,Neto,27,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1290000,1055700,,,Un sueldo,Mix de las anteriores,Dos,40,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",2,"No, pero escucho ofertas.",Developer,2,0,0,0,"Firebase, Google Cloud Platform, Android Studio",Kotlin,Ninguno de los anteriores,Ninguna de las anteriores,JUnit,De 2001a 5000 personas,100% remoto,0,,No sé,7,1,Universitario,En curso,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,No,0,Bruto,33,Masculino
Mendoza,Full-Time,Staff (planta permanente),3200000,2500000,,,No,No recibo bono,Más de tres,65,Mayo,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Manager / Director,18,7,7,10,"Docker, Kubernetes, Windows Server, Bejerman, Azure",".NET, C#, CSS, HTML, Javascript, Swift, TypeScript",".NET Core, Angular, Bootstrap","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,Inflación,No,7,2,,,,,,,,38,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1431474.56,1798647.79,,,No,No recibo bono,Dos,72,Abril,3,"Abono de Internet, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Prepaga Osde 310",3,"Sí, estoy buscando activamente.",Project Manager,5,3,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,"Si, ajustes de interés compuesto respecto a inflación",Sí,7,1,Universitario,Incompleto,Diseño industrial,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,,,,28,Femenino
Entre Ríos,Full-Time,Staff (planta permanente),3300000,2500000,Cobro todo el salario en dólares,1100,De uno a tres sueldos,Performance individual,No,0,No tuve,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles",4,"No, pero escucho ofertas.",Developer,25,0,0,3,"Docker, Linux, Microcontroladores, Windows Server, Virtual Box","Assembler, C, C++, Java, Python",Ninguno de los anteriores,SQLite,Ranorex,De 201 a 500 personas,Híbrido (presencial y remoto),1,,Sí,10,4,,,,,,,,52,Macho
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1500000,1350000,,,Menos de un sueldo,Performance individual,Uno,45,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",Developer,2,2,2,0,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Next.js, React.js",contentstack,Jest,De 5001 a 10000 personas,100% remoto,0,,Sí,3,4,Terciario,Completo,Diseño de Imágen y Sonido,,,,,40,masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,,,,Menos de un sueldo,Convenio,Más de tres,20,Abril,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc)",4,"No, pero escucho ofertas.",Developer,2,0,2,0,Ninguna de las anteriores,".NET, C#, Java, Javascript, SQL",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),2,,No,9,5,,,,,,,,24,Masculino
Santa Fe,Full-Time,Contractor,6000000,,Cobro todo el salario en dólares,,No,No recibo bono,Uno,5,Abril,3,Ninguna de las anteriores,4,"No, pero escucho ofertas.",Product Owner,10,2,2,0,Ninguna de las anteriores,Javascript,Angular,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Si,Sí,4,5,,,,,,,,45,Femenini
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3250000,2680000,,,De uno a tres sueldos,Mix de las anteriores,Dos,80,Abril,3,"Abono de celular, Capacitaciones y/o cursos, Medicina prepaga",3,"No, pero escucho ofertas.",Manager / Director,2,8,0,5,"Linux, Windows Server","HTML, Python, SQL, VBA",Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,Por IPC,No,8,2,Universitario,Completo,Licenciatura en Administración,UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,,,,38,Masculino
San Luis,Full-Time,Staff (planta permanente),703703.73,570000,,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,15,8,5,0,Windows Server,".NET, Arduino, C, C++, C#, COBOL, CSS, Delphi, HTML, Java, PHP, Python, SQL, VBA",".NET Core, Bootstrap, jQuery, Node.js, WordPress","MariaDB, Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,No,Sí,0,1,,,,,,,,50,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2600000,2400000,,,De uno a tres sueldos,acuerdo previo fijo,Tres,35,Abril,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",DevOps Engineer,4,2,2,0,"Amazon Web Services, Docker, Linux, Serverless, VMWare, Windows Server",TypeScript,Ninguno de los anteriores,"Amazon DynamoDB, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,si,No sé,10,3,,,,,,,,45,masculino
Misiones,Full-Time,Freelance,2459000,2459000,Cobro todo el salario en dólares,,No,No recibo bono,Uno,0.1,Enero,2,"Capacitaciones y/o cursos, Clases de idiomas",2,"Sí, estoy buscando activamente.",Developer,13,3,3,0,"Amazon Web Services, Docker, Firebase","Javascript, PHP, TypeScript","Angular, Bootstrap, Laravel, Capacitor",MariaDB,"Cypress, Jest",De 2 a 10 personas,100% remoto,0,,No,8,4,,,,,,,,34,Masculino
Santa Fe,Full-Time,Staff (planta permanente),1210000,1000000,,,No,No recibo bono,Uno,107,Abril,4,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",HelpDesk,11,1,3,0,"Linux, VMWare, Windows Server","ABAP, Javascript, PHP, Python, SQL",SAP,"MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 1001 a 2000 personas,100% presencial,0,,Sí,6,4,Universitario,En curso,Licenciatura en Ciberseguridad,,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,27,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1760000,1550000,,,Menos de un sueldo,Inglés,Uno,20,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado",3,"No, pero escucho ofertas.",Consultant,2,2,2,0,"Amazon Web Services, Azure, Linux, VMWare","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,,No,5,4,,,,,,,,24,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000,1560000,,,No,No recibo bono,Dos,51,Mayo,3,"Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, pero escucho ofertas.",Developer,20,3,3,0,"Amazon Web Services, Docker, Linux",".NET, C#, Python, SQL",".NET Core, Angular","Amazon DynamoDB, Microsoft SQL Server","NUnit, Postman, Xunit",De 501 a 1000 personas,100% remoto,0,,No sé,8,2,Universitario,Incompleto,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,59,Masculino
Córdoba,Full-Time,Staff (planta permanente),2340456,1942578,,,De uno a tres sueldos,Performance individual,Dos,35,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles, Viáticos",3,"No, pero escucho ofertas.",Manager / Director,20,5,5,2,"Google Cloud Platform, Linux, Windows Server","Javascript, PHP, SQL",Bootstrap,"MariaDB, MySQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),4,Revisión salarial cada 2 meses,No,7,0,Terciario,Completo,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,"Sí, pasiva",0,Neto,39,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),3005200,2800000,Mi sueldo está dolarizado (pero cobro en moneda local),890,No,No recibo bono,Tres,40,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc)",4,"Sí, estoy buscando activamente.",QA / Tester,17,3,3,5,"Firebase, Google Cloud Platform","CSS, HTML, Javascript, SQL","Bootstrap, jQuery, Node.js, React.js","ElasticSearch, PostgreSQL","Appium, Cucumber, Jest, Postman, Selenium, SoapUI, Visual Studio Coded UI",De 501 a 1000 personas,100% remoto,0,,Sí,7,3,Universitario,Incompleto,Ingeniería en Sistemas de Información,UNLaM - Universidad Nacional de La Matanza,No,0,Neto,42,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),678000,700000,,,Menos de un sueldo,Mix de las anteriores,Más de tres,30,Mayo,2,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Sueldo dividido en dos pagos por mes",2,"Sí, estoy buscando activamente.",QA / Tester,2,1,2,0,OpenShift,Javascript,Ninguno de los anteriores,Microsoft SQL Server,"HP UFT, Postman",De 1001 a 2000 personas,100% remoto,0,Paritarias empleado de comercio,No,7,5,Universitario,En curso,Licenciatura en Informática,Universidad Siglo 21,,,,34,Femenino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2250000,2100000,Cobro todo el salario en dólares,dolar MEP,De uno a tres sueldos,Mix de las anteriores,Dos,15,Febrero,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",Manager / Director,20,2,2,4,"Amazon Web Services, Azure, Google Cloud Platform",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,no,No,7,3,Maestría,En curso,Ingeniería en Sistemas de Información,ITBA Instituto Tecnológico de Buenos Aires,No,0,Neto,49,masculino
Provincia de Buenos Aires,Part-Time,Staff (planta permanente),592000,462000,,,No,No recibo bono,Dos,15,Marzo,3,Horarios flexibles,2,"No, pero escucho ofertas.",HelpDesk,8,2.2,2.2,0,Amazon Web Services,"CSS, HTML",WordPress,MySQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,Recomposición  de 25% del semestre anterior.,No,4,0,,,,,,,,43,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,1500000,1245000,Cobro parte del salario en dólares,1688000,3+ sueldos,50% Performance Individual + 50% Performance de la compañia,Dos,85,Abril,4,"Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,4,0,2,0,"Amazon Web Services, Docker","CSS, HTML, Javascript, SQL, TypeScript","Node.js, Vue.js",PostgreSQL,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,"Si, cada 3 meses por inflación",Sí,3,4,Universitario,Incompleto,Ingenieria Aeronáutica,UTN - Universidad Tecnológica Nacional,,,,34,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,7150000,7150000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,"Horarios flexibles, Stock options / RSUs, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Technical Leader,6,0,0,3,"Amazon Web Services, Docker, Kubernetes, Linux","Python, Scala, SQL","Spark, TensorFlow, Torch","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,No,9,5,Maestría,Completo,Licenciatura en Biotecnología,UNSAM - Universidad de San Martín,No,0,Neto,31,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1650000,1350000,,,No,No recibo bono,Dos,95,Abril,3,Vacaciones flexibles (adicionales a las reglamentarias),3,"No, pero escucho ofertas.",Functional Analyst,24,2,6,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,Si. Cada 3 meses,Sí,10,1,Universitario,Completo,Licenciatura en Sistemas de Información,UCA - Universidad Católica Argentina,,,,53,Masculino
Misiones,Full-Time,Staff (planta permanente),2330000,2090000,,,Menos de un sueldo,remanente de convenios,Tres,26,Abril,2,Horarios flexibles,2,"No, estoy muy conforme.",Technical Leader,16,12,4,3,"Docker, Kubernetes, Linux","HTML, Javascript, PHP","Symfony, SIU-Toba","PostgreSQL, Redis","PHPUnit, Postman",De 101 a 200 personas,100% remoto,0,ajustes por paritarias,No,8,1,Maestría,Completo,Licenciatura en Sistemas de Información,ORT,No,0,Porcentaje de mi sueldo bruto,39,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000,2200000,Cobro parte del salario en dólares,900,3+ sueldos,Mix de las anteriores,Tres,78,Mayo,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Business Analyst,40,20,20,0,"Azure, Docker, Kubernetes, Linux","Java, Javascript",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,SI,Sí,9,1,,,,,,,,63,m
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1260307,1046000,Cobro parte del salario en dólares,,Menos de un sueldo,Mix de las anteriores,Tres,50,Mayo,2,"Abono de celular, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,5,5,3,0,"Amazon Web Services, Linux","Bash/Shell, CSS, Groovy, HTML, Java, Javascript, SQL","Hibernate, jQuery, Spring","Oracle, PostgreSQL",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,,No,6,2,,,,,,,,37,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2200000,1600000,,,De uno a tres sueldos,Performance de la compañía,Tres,35,Abril,3,"Abono de celular, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Prepaga",3,"No, pero escucho ofertas.",Project Manager,10,3,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,No,No,9,3,,,,,,,,47,Femenino
Córdoba,Full-Time,Staff (planta permanente),2500000,2100000,,,No,No recibo bono,Dos,70,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",2,"Sí, estoy buscando activamente.",Manager / Director,5,3,2,50,Amazon Web Services,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,5,3,,,,,,,,35,Masculino
